RollNo,Name,Course,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6
1,Zander Crawford,MCA,62,53,99,48,98,57
2,Matthias Jones,MCA,75,51,42,89,88,47
3,Rita Mills,MSc,72,95,54,37,53,92
4,Tallulah Conrad,MCA,38,45,44,46,49,87
5,Tanner Alvarado,MSc,93,79,82,34,89,94
6,Regina Fuller,MSc,92,65,73,66,97,30
7,Scarlet Mcintyre,MSc,84,97,50,43,99,48
8,Luka Dixon,MCA,33,96,70,93,44,83
9,Saad Ware,MSc,49,40,39,95,71,60
10,Rea Cannon,MSc,57,83,88,73,78,61
11,Weronika Case,MCA,71,76,68,62,75,67
12,Felicity Clifford,MCA,67,87,36,55,82,41
13,Ilayda Mccarthy,MCA,52,98,41,68,96,54
14,Maximus Marshall,MSc,55,64,22,100,81,69
15,Jagdeep Abbott,MCA,100,85,66,84,58,51
16,Sheena Kinney,MCA,90,60,81,77,42,52
17,Mariyah Donaldson,MSc,86,69,61,50,85,80
18,Lorena Matthews,MSc,46,49,91,91,40,74
19,Melinda Murray,MCA,58,47,78,56,65,79
20,Ishaaq Pope,MSc,43,80,63,86,39,76
