RollNo,Name,Course,EmailID,Address,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6
212200101,Clint Riley,MCA,clint_riley4632@yahoo.com,P.O. Box 44018,90,49,89,87,26,57
212200102,Sylvia Palmer,MCA,sylvia_palmer9828@grannar.com,499 Well Glen,61,89,49,84,98,47
212200103,Kate Power,MCA,kate_power9136@ovock.tech,P.O. Box 68952,80,46,56,57,89,92
212200104,Rufus Fall,MCA,rufus_fall4446@corti.com,917 Indian Center,98,33,31,93,57,87
212200105,Adelaide James,MCA,adelaide_james7262@atink.com,P.O. Box 82443,50,99,34,28,69,94
212200106,Carl Hammond,MCA,carl_hammond474@sheye.org,523 N Mill,64,99,91,92,54,30
212200107,Lucas Gilmore,MCA,lucas_gilmore7572@womeona.net,553 Little Lock Falls,74,61,87,49,73,48
212200108,Bryon Varndell,MCA,bryon_varndell6270@bauros.biz,204 Cedar Well,75,52,76,97,62,83
212200109,Paige Holt,MCA,paige_holt5487@guentu.biz,691 Leaf Curve,55,91,35,53,36,60
212200110,Emery Dubois,MCA,emery_dubois3429@twace.org,107 Crystal Panda Run,66,69,59,34,30,61
212200111,Karen Paterson,MCA,karen_paterson7130@hourpy.biz,352 Dewy Isle,39,65,96,61,37,67
212200112,Davina Pickard,MCA,davina_pickard3122@sveldo.biz,249 Red Pony,99,30,88,28,80,41
212200113,Tom Todd,MCA,tom_todd2067@bungar.biz,189 Middle First,63,47,35,83,37,54
212200114,Mason Bolton,MCA,mason_bolton3897@sveldo.biz,77 Broad Bluff,95,60,51,29,72,69
212200115,Bryon Lomax,MCA,bryon_lomax7000@womeona.net,P.O. Box 99124,86,79,80,100,76,51
212200116,Nathan Owen,MCA,nathan_owen8333@zorer.org,356 High Estate,88,83,58,60,73,52
212200117,Erin Niles,MCA,erin_niles9260@gembat.biz,127 Wall Divide,66,48,52,42,26,80
212200118,Dakota Lakey,MCA,dakota_lakey9334@bauros.biz,227 NE Dale Crossroad,100,80,32,84,99,74
212200119,Emery Rowe,MCA,emery_rowe5258@infotech44.tech,P.O. Box 81629,54,27,41,76,83,79
212200120,Carter Campbell,MCA,carter_campbell6263@twipet.com,227 Branch Alley,27,80,43,99,36,76
212200121,Liv Warner,MCA,liv_warner2419@elnee.tech,535 Crystal Pioneer,32,73,88,37,46,55
212200122,Tania Morrison,MCA,tania_morrison1863@gompie.com,264 Honey Pass,57,42,43,100,85,98
212200123,Anthony Patel,MCA,anthony_patel4347@corti.com,439 N Ledge,60,48,51,95,92,72
212200124,Candace Donnelly,MCA,candace_donnelly12@gembat.biz,66 Umber Bayoo,73,88,93,59,33,77
212200125,Gabriel Mcgregor,MCA,gabriel_mcgregor6380@liret.org,445 Hidden Landing,38,43,91,76,29,91
212200126,Ruby Grady,MCA,ruby_grady7213@cispeto.com,P.O. Box 36007,29,73,32,30,90,62
212200127,Jayden Lindop,MCA,jayden_lindop5469@jiman.org,P.O. Box 89855,54,42,36,64,49,44
212200128,Carolyn Thomson,MCA,carolyn_thomson4896@infotech44.tech,191 Clear Highway,31,83,53,68,25,43
212200129,Enoch Thomas,MCA,enoch_thomas3550@gmail.com,P.O. Box 37276,79,29,65,47,54,61
212200130,David Overson,MCA,david_overson445@gompie.com,P.O. Box 50967,39,84,71,38,48,55
212200131,Lucas Steer,MCA,lucas_steer4227@elnee.tech,206 Grand Way,75,85,42,45,70,62
212200132,Vivian Kennedy,MCA,vivian_kennedy208@famism.biz,670 Sunny Passage,59,50,84,68,57,57
212200133,Lucas Collis,MCA,lucas_collis6688@eirey.tech,828 High Fort Lane,85,71,51,43,96,45
212200134,Rosie Davies,MCA,rosie_davies1686@zorer.org,73 Velvet Way,94,69,74,46,86,59
212200135,Gabriel Rodgers,MCA,gabriel_rodgers267@zorer.org,596 Iron First,33,42,81,79,84,66
212200136,Benny Baker,MCA,benny_baker2713@twipet.com,633 Washington Tunnel,40,28,55,40,88,49
212200137,Makenzie Tait,MCA,makenzie_tait1613@gmail.com,775 Sleepy Union,46,94,79,75,61,72
212200138,Laila Downing,MCA,laila_downing1239@nickia.com,676 S Forge Extension,70,83,74,28,79,98
212200139,Valerie Mitchell,MCA,valerie_mitchell4315@liret.org,604 Sunny Throughway,62,55,88,91,85,28
212200140,Bob Slater,MCA,bob_slater975@jiman.org,876 Pleasant Shore,70,75,93,59,64,61
212200141,Russel Lee,MCA,russel_lee1786@deons.tech,P.O. Box 63030,45,29,75,94,89,27
212200142,Sylvia Nicolas,MCA,sylvia_nicolas5489@ubusive.com,P.O. Box 98031,65,47,54,30,43,79
212200143,Benjamin Ogilvy,MCA,benjamin_ogilvy7225@naiker.biz,692 Rose Overpass,70,95,84,76,91,62
212200144,Alice Gregory,MCA,alice_gregory2937@acrit.org,803 Flat Chase,47,56,57,29,89,61
212200145,Benjamin Eaton,MCA,benjamin_eaton4925@guentu.biz,692 Main Narrow,68,31,85,80,81,56
212200146,Elijah Ross,MCA,elijah_ross8020@ovock.tech,690 Blue Elk Square,38,63,25,83,71,60
212200147,Remy Camden,MCA,remy_camden21@ovock.tech,313 Rabbit Bank,67,51,65,79,60,26
212200148,Gladys Matthews,MCA,gladys_matthews652@jiman.org,124 Tawny Spring,60,78,37,46,100,70
212200149,Percy Robinson,MCA,percy_robinson7877@muall.tech,499 Pleasant Ramp,60,32,80,41,28,48
212200150,Anne Forth,MCA,anne_forth6456@womeona.net,258 Red Arbor,62,41,64,36,40,67
212200151,Hope Knight,MCA,hope_knight7566@gmail.com,627 Stony Prairie Route,43,89,90,35,93,80
212200152,Emma Gunn,MCA,emma_gunn2926@hourpy.biz,P.O. Box 74454,94,83,93,91,100,60
212200153,Enoch Hale,MCA,enoch_hale6045@naiker.biz,796 E Stream,52,25,29,89,86,28
212200154,Danny Weasley,MCA,danny_weasley7676@infotech44.tech,137 Smith Lawn,98,100,56,63,31,84
212200155,Johnathan Taylor,MCA,johnathan_taylor331@naiker.biz,P.O. Box 31342,97,58,80,63,64,45
212200156,Rebecca Wallace,MCA,rebecca_wallace8404@womeona.net,41 Sunny Run,44,28,99,80,92,32
